experiment_name,running_time,loss_function,total_reward,avg_reward_per_cog,aligned_junction_held,aligned_junction_gained,status,notes
all_miners_8_agents,1000_steps,maximize_sum_agent_reward_where_reward_tracks_aligned_junction_held_per_tick,0.400002,0.050000,0,0,kept_as_reference,8 miners on cogsguard_machina_1
all_aligners_8_agents,1000_steps,maximize_sum_agent_reward_where_reward_tracks_aligned_junction_held_per_tick,1.697615,0.212202,1122,6,kept_as_reference,8 aligners on cogsguard_machina_1
one_aligner_seven_miners_1A_7M,500_steps,maximize_sum_agent_reward_where_reward_tracks_aligned_junction_held_per_tick,0.400002,0.050000,0,0,kept_as_reference,Composition sweep result
two_aligners_six_miners_default_pair_0_1,1000_steps,maximize_sum_agent_reward_where_reward_tracks_aligned_junction_held_per_tick,3.223984,0.402998,3030,5,kept,First strong mixed-role baseline
three_aligners_five_miners,1000_steps,maximize_sum_agent_reward_where_reward_tracks_aligned_junction_held_per_tick,2.921576,0.365197,2652,5,kept_as_reference,Composition sweep result
four_aligners_four_miners,1000_steps,maximize_sum_agent_reward_where_reward_tracks_aligned_junction_held_per_tick,1.532017,0.191502,915,2,kept_as_reference,Composition sweep result
two_aligners_one_scrambler_five_miners_2A_1S_5M,1000_steps,maximize_sum_agent_reward_where_reward_tracks_aligned_junction_held_per_tick,2.837563,0.354695,2547,4,reverted,Improved scrambler still underperformed against 2A6M
two_aligners_six_scouts_2A_6Scout,1000_steps,maximize_sum_agent_reward_where_reward_tracks_aligned_junction_held_per_tick,1.956813,0.244602,1446,2,kept_as_reference,Scout-heavy support bodies underperformed miners
two_aligners_six_scramblers_2A_6Scrambler,1000_steps,maximize_sum_agent_reward_where_reward_tracks_aligned_junction_held_per_tick,0.800009,0.100001,0,0,reverted,Scrambler-heavy composition failed badly
two_aligners_three_miners_three_scouts_2A_3M_3Scout,1000_steps,maximize_sum_agent_reward_where_reward_tracks_aligned_junction_held_per_tick,1.460016,0.182502,825,1,reverted,Mixed scout-miner support underperformed
two_aligners_two_miners_two_scramblers_two_scouts_2A_2M_2S_2Scout,1000_steps,maximize_sum_agent_reward_where_reward_tracks_aligned_junction_held_per_tick,1.460016,0.182502,825,1,reverted,Balanced four-role mix underperformed
two_aligners_six_mine_closest,1000_steps,maximize_sum_agent_reward_where_reward_tracks_aligned_junction_held_per_tick,0.800009,0.100001,0,0,reverted,Shared miner skill runtime regressed on machina_1
two_aligners_six_llm_miners,1000_steps,maximize_sum_agent_reward_where_reward_tracks_aligned_junction_held_per_tick,1.460016,0.182502,825,1,reverted,LLM miner scaffold underperformed the simple miner role
custom_deficit_miner_variant,1000_steps,maximize_sum_agent_reward_where_reward_tracks_aligned_junction_held_per_tick,0.800009,0.100001,0,0,reverted,Deficit-targeting miner regressed badly
aligner_pair_0_5,500_steps,maximize_sum_agent_reward_where_reward_tracks_aligned_junction_held_per_tick,2.063995,0.257999,2080,5,kept_as_reference,Best pair found in 500-step pair sweep
aligner_pair_0_2,500_steps,maximize_sum_agent_reward_where_reward_tracks_aligned_junction_held_per_tick,1.991994,0.248999,1990,5,kept_as_reference,Second-best pair in 500-step pair sweep
aligner_pair_0_1,500_steps,maximize_sum_agent_reward_where_reward_tracks_aligned_junction_held_per_tick,1.987994,0.248499,1985,5,kept_as_reference,Default pair before tuning
aligner_pair_5_7,500_steps,maximize_sum_agent_reward_where_reward_tracks_aligned_junction_held_per_tick,0.784004,0.098001,480,1,kept_as_reference,Weak pair from pair sweep
aligner_pair_4_5,500_steps,maximize_sum_agent_reward_where_reward_tracks_aligned_junction_held_per_tick,0.784004,0.098001,480,1,kept_as_reference,Weak pair from pair sweep
aligner_pair_3_5,500_steps,maximize_sum_agent_reward_where_reward_tracks_aligned_junction_held_per_tick,0.784004,0.098001,480,1,kept_as_reference,Weak pair from pair sweep
aligner_pair_2_5,500_steps,maximize_sum_agent_reward_where_reward_tracks_aligned_junction_held_per_tick,0.784004,0.098001,480,1,kept_as_reference,Weak pair from pair sweep
aligner_pair_1_5,500_steps,maximize_sum_agent_reward_where_reward_tracks_aligned_junction_held_per_tick,0.784004,0.098001,480,1,kept_as_reference,Weak pair from pair sweep
aligner_pair_6_7,500_steps,maximize_sum_agent_reward_where_reward_tracks_aligned_junction_held_per_tick,0.400002,0.050000,0,0,kept_as_reference,Very weak pair from pair sweep
aligner_pair_5_6,500_steps,maximize_sum_agent_reward_where_reward_tracks_aligned_junction_held_per_tick,0.400002,0.050000,0,0,kept_as_reference,Very weak pair from pair sweep
aligner_pair_0_5_full_horizon,1000_steps,maximize_sum_agent_reward_where_reward_tracks_aligned_junction_held_per_tick,3.299986,0.412498,3125,5,kept,Best full-horizon pair and current default
aligner_pair_0_2_full_horizon,1000_steps,maximize_sum_agent_reward_where_reward_tracks_aligned_junction_held_per_tick,3.227985,0.403498,3035,5,kept_as_reference,Full-horizon validation pair
aligner_pair_0_3_full_horizon,1000_steps,maximize_sum_agent_reward_where_reward_tracks_aligned_junction_held_per_tick,0.800009,0.100001,0,0,kept_as_reference,Failed full-horizon validation pair
aligner_pair_0_4_full_horizon,1000_steps,maximize_sum_agent_reward_where_reward_tracks_aligned_junction_held_per_tick,0.800009,0.100001,0,0,kept_as_reference,Failed full-horizon validation pair
aligner_triple_0_5_1,1000_steps,maximize_sum_agent_reward_where_reward_tracks_aligned_junction_held_per_tick,2.524006,0.315501,2155,3,kept_as_reference,Adding a third aligner did not improve score
aligner_triple_0_5_2,1000_steps,maximize_sum_agent_reward_where_reward_tracks_aligned_junction_held_per_tick,2.869563,0.358695,2587,4,kept_as_reference,Adding a third aligner did not beat best pair
aligner_triple_0_5_3,1000_steps,maximize_sum_agent_reward_where_reward_tracks_aligned_junction_held_per_tick,1.463216,0.182902,829,1,kept_as_reference,Weak third-aligner variant
aligner_triple_0_5_4,1000_steps,maximize_sum_agent_reward_where_reward_tracks_aligned_junction_held_per_tick,3.299986,0.412498,3125,5,kept_as_reference,Same score as best pair because extra aligner did not improve outcome
aligner_triple_0_5_6,1000_steps,maximize_sum_agent_reward_where_reward_tracks_aligned_junction_held_per_tick,0.800009,0.100001,0,0,kept_as_reference,Failed third-aligner variant
aligner_triple_0_5_7,1000_steps,maximize_sum_agent_reward_where_reward_tracks_aligned_junction_held_per_tick,3.299986,0.412498,3125,5,kept_as_reference,Same score as best pair because extra aligner did not improve outcome
seed_average_default_pair_0_1,5_seeds_x_1000_steps,maximize_mean_sum_agent_reward_over_seeds,0.906570,0.113321,133.2,,kept_as_reference,Average over seeds 0..4 for pair 0,1
seed_average_best_pair_0_5,5_seeds_x_1000_steps,maximize_mean_sum_agent_reward_over_seeds,1.141291,0.142661,426.6,,kept,Average over seeds 0..4 for pair 0,5
